Date,Team,Team Score,Opponent,Opponent Score,Team Result
11/13/13,Illinois,64,Valparaiso,52,Win
11/13/13,Valparaiso,52,Illinois,64,Loss
11/13/13,Winthrop,82,SC Upstate,74,Win
11/13/13,SC Upstate,74,Winthrop,82,Loss
11/13/13,Middle Tenn St,77,North Florida,70,Win
11/13/13,North Florida,70,Middle Tenn St,77,Loss
11/13/13,Portland St,79,Pac Lutheran,43,Win
11/13/13,Pac Lutheran,43,Portland St,79,Loss
11/13/13,Seattle,75,CS Fullerton,71,Win
11/13/13,CS Fullerton,71,Seattle,75,Loss
11/13/13,Pepperdine,69,UC Riverside,66,Win
11/13/13,UC Riverside,66,Pepperdine,69,Loss
11/13/13,Oregon,107,W Carolina,83,Win
11/13/13,W Carolina,83,Oregon,107,Loss
11/13/13,North Dakota,110,MN Morris,69,Win
11/13/13,MN Morris,69,North Dakota,110,Loss
11/13/13,CS Bakersfield,74,CS Sacramento,66,Win
11/13/13,CS Sacramento,66,CS Bakersfield,74,Loss
11/13/13,NE Omaha,101,Missouri KC,71,Win
11/13/13,Missouri KC,71,NE Omaha,101,Loss
11/13/13,St Louis,82,Edwardsville,58,Win
11/13/13,Edwardsville,58,St Louis,82,Loss
11/13/13,Providence,73,Brown,69,Win
11/13/13,Brown,69,Providence,73,Loss
11/13/13,Oregon St,79,Portland,73,Win
11/13/13,Portland,73,Oregon St,79,Loss
11/13/13,Colorado,63,Wyoming,58,Win
11/13/13,Wyoming,58,Colorado,63,Loss
11/13/13,UT Arlington,111,Howard Payne,64,Win
11/13/13,Howard Payne,64,UT Arlington,111,Loss
11/13/13,San Francisco,91,Cleveland St,82,Win
11/13/13,Cleveland St,82,San Francisco,91,Loss
11/13/13,Tulane,79,Southern Univ,73,Win
11/13/13,Southern Univ,73,Tulane,79,Loss
11/13/13,Kansas St,71,Oral Roberts,63,Win
11/13/13,Oral Roberts,63,Kansas St,71,Loss
11/13/13,Boston Univ,91,MA Lowell,65,Win
11/13/13,MA Lowell,65,Boston Univ,91,Loss
11/13/13,Georgetown,88,Wright St,70,Win
11/13/13,Wright St,70,Georgetown,88,Loss
11/13/13,Hartford,63,Fairfield,53,Win
11/13/13,Fairfield,53,Hartford,63,Loss
11/13/13,Old Dominion,77,Howard,57,Win
11/13/13,Howard,57,Old Dominion,77,Loss
11/13/13,Bucknell,90,Penn St,80,Win
11/13/13,Penn St,80,Bucknell,90,Loss
11/13/13,Maryland,67,Abilene Chr,44,Win
11/13/13,Abilene Chr,44,Maryland,67,Loss
11/13/13,Alabama St,88,Mobile,58,Win
11/13/13,Mobile,58,Alabama St,88,Loss
11/13/13,Southern Miss,75,DePaul,68,Win
11/13/13,DePaul,68,Southern Miss,75,Loss
