Date,Team,Opponent,Team Score,Opponent Score,Team Result
2/2/13,Marshall,UCF,75,71,Win
2/2/13,UCF,Marshall,71,75,Loss
2/2/13,Maryland,Wake Forest,86,60,Win
2/2/13,Wake Forest,Maryland,60,86,Loss
2/2/13,MD Baltimore Co,Maine,68,67,Win
2/2/13,Maine,MD Baltimore Co,67,68,Loss
2/2/13,NC A&T,MD E Shore,46,44,Win
2/2/13,MD E Shore,NC A&T,44,46,Loss
2/2/13,Memphis,Tulsa,94,64,Win
2/2/13,Tulsa,Memphis,64,94,Loss
2/2/13,LSU,Mississippi St,69,68,Win
2/2/13,Mississippi St,LSU,68,69,Loss
2/2/13,Missouri,Auburn,91,77,Win
2/2/13,Auburn,Missouri,77,91,Loss
2/2/13,Missouri St,Evansville,62,61,Win
2/2/13,Evansville,Missouri St,61,62,Loss
2/2/13,Bryant,Monmouth NJ,77,62,Win
2/2/13,Monmouth NJ,Bryant,62,77,Loss
2/2/13,Hampton,Morgan St,64,62,Win
2/2/13,Morgan St,Hampton,62,64,Loss
2/2/13,Mt St Mary's,Sacred Heart,91,82,Win
2/2/13,Sacred Heart,Mt St Mary's,82,91,Loss
2/2/13,Murray St,Austin Peay,75,68,Win
2/2/13,Austin Peay,Murray St,68,75,Loss
2/2/13,Weber St,N Colorado,85,64,Win
2/2/13,N Colorado,Weber St,64,85,Loss
2/2/13,N Dakota St,South Dakota,65,46,Win
2/2/13,South Dakota,N Dakota St,46,65,Loss
2/2/13,Toledo,N Illinois,69,64,Win
2/2/13,N Illinois,Toledo,64,69,Loss
2/2/13,Miami FL,NC State,79,78,Win
2/2/13,NC State,Miami FL,78,79,Loss
2/2/13,Oakland,NE Omaha,96,81,Win
2/2/13,NE Omaha,Oakland,81,96,Loss
2/2/13,Ohio St,Nebraska,63,56,Win
2/2/13,Nebraska,Ohio St,56,63,Loss
2/2/13,Stony Brook,New Hampshire,56,54,Win
2/2/13,New Hampshire,Stony Brook,54,56,Loss
2/2/13,New Mexico,Nevada,75,62,Win
2/2/13,Nevada,New Mexico,62,75,Loss
2/2/13,Loyola MD,Niagara,89,87,Win
2/2/13,Niagara,Loyola MD,87,89,Loss
2/2/13,North Carolina,Virginia Tech,72,60,Win
